DestinationRef,DestinationType,ShipToID,Longitude,Latitude,Suburb,City,SA4,State,Country
3115BR,Branch,3115BR,"151,6287509","-32,8104537",Beresfield,Newcastle,Newcastle and Lake Macquarie,New South Wales,Australia
3116BR,Branch,3116BR,"151,748069","-32,781046",Heatherbrae,Port Stephens,Hunter Valley exc Newcastle,New South Wales,Australia
3120BR,Branch,3120BR,"150,816804","-34,572959",Albion Park Rail,Shellharbour,Illawarra,New South Wales,Australia
3121BR,Branch,3710BR,"150,8173","-34,57277",Oak Flats,Shellharbour,Illawarra,New South Wales,Australia
3122BR,Branch,3122BR,"151,03191","-33,69508",Dural,Hornsby,Sydney - Baulkham Hills and Hawkesbury,New South Wales,Australia
3125BR,Branch,3125BR,"151,1030151","-33,91892739",Campsie,Canterbury,Sydney - Inner South West,New South Wales,Australia
3130BR,Branch,3107BR,"151,63183","-32,81095",Beresfield,Newcastle,Newcastle and Lake Macquarie,New South Wales,Australia
3134BR,Branch,3134BR,"152,844703","-31,074545",Kempsey,Kempsey,Mid North Coast,New South Wales,Australia
3136BR,Branch,3064BR,"149,1075366","-33,30894505",Orange,Orange,Central West,New South Wales,Australia
3138BR,Branch,3138BR,"150,6863914","-33,76739343",South Penrith,Penrith,Sydney - Outer West and Blue Mountains,New South Wales,Australia
3139BR,Branch,3139BR,"151,273943","-33,76522",Brookvale,Warringah,Sydney - Northern Beaches,New South Wales,Australia
3140BR,Branch,3139BR,"151,273943","-33,76522",Brookvale,Warringah,Sydney - Northern Beaches,New South Wales,Australia
3141BR,Branch,3141BR,"150,98013","-33,87889",Villawood,Bankstown,Sydney - Parramatta,New South Wales,Australia
3142BR,Branch,3141BR,"150,98013","-33,87889",Villawood,Bankstown,Sydney - Parramatta,New South Wales,Australia
3147BR,Branch,3147BR,"149,058855","-35,242486",Belconnen,Unincorporated Australian Capital Territory,Australian Capital Territory,Australian Capital Territory,Australia
3148BR,Branch,3054BR,"151,2541804","-33,9014253",Waverley,Waverley,Sydney - Eastern Suburbs,New South Wales,Australia
3149BR,Branch,3149BR,"150,918792","-33,683193",Rouse Hill,The Hills,Sydney - Baulkham Hills and Hawkesbury,New South Wales,Australia
3150BR,Branch,3150BR,"149,169939","-35,32731",Fyshwick,Unincorporated Australian Capital Territory,Australian Capital Territory,Australian Capital Territory,Australia
3151BR,Branch,3151BR,"151,172072","-33,860547",Rozelle,Leichhardt,Sydney - Inner West,New South Wales,Australia
3152BR,Branch,3152BR,"151,1199447","-34,0300551",Caringbah,Sutherland,Sydney - Sutherland,New South Wales,Australia
3153BR,Branch,3715BR,"151,126993","-34,031554",Caringbah,Sutherland,Sydney - Sutherland,New South Wales,Australia
3154BR,Branch,3154BR,"151,188625","-33,876694",Glebe,Sydney,Sydney - City and Inner South,New South Wales,Australia
3155BR,Branch,3155BR,"151,021285","-33,936702",Revesby,Bankstown,Sydney - Inner South West,New South Wales,Australia
3156BR,Branch,3125BR,"151,1024355","-33,9190623",Campsie,Canterbury,Sydney - Inner South West,New South Wales,Australia
3157BR,Branch,3150BR,"149,169939","-35,32731",Fyshwick,Unincorporated Australian Capital Territory,Australian Capital Territory,Australian Capital Territory,Australia
3158BR,Branch,3158BR,"149,212007","-35,345096",Crestwood,Queanbeyan,Capital Region,New South Wales,Australia
3159BR,Branch,3159BR,"152,45618","-31,899288",Taree,Greater Taree,Mid North Coast,New South Wales,Australia
3160BR,Branch,3160BR,"152,522759","-32,200053",Forster,Great Lakes,Mid North Coast,New South Wales,Australia
3161BR,Branch,3161BR,"151,066035","-33,900128",Greenacre,Strathfield,Sydney - Inner South West,New South Wales,Australia
3162BR,Branch,3162BR,"151,149567","-33,808185",Lane Cove,Lane Cove,Sydney - North Sydney and Hornsby,New South Wales,Australia
3163BR,Branch,3163BR,"151,110662","-33,69683",Asquith,Hornsby,Sydney - North Sydney and Hornsby,New South Wales,Australia
3164BR,Branch,3164BR,"151,012649","-34,014916",Menai,Sutherland,Sydney - Sutherland,New South Wales,Australia
3165BR,Branch,3163BR,"151,110662","-33,69683",Asquith,Hornsby,Sydney - North Sydney and Hornsby,New South Wales,Australia
3166BR,Branch,3715BR,"151,126993","-34,031554",Caringbah,Sutherland,Sydney - Sutherland,New South Wales,Australia
3168BR,Branch,3168BR,"149,133329","-36,2326",Cooma,Cooma-Monaro,Capital Region,New South Wales,Australia
3169BR,Branch,3169BR,"148,601884","-36,436506",Jindabyne,Snowy River,Capital Region,New South Wales,Australia
3172BR,Branch,3172BR,"151,195811","-33,915255",Alexandria,Sydney,Sydney - City and Inner South,New South Wales,Australia
3174BR,Branch,3172BR,"151,195811","-33,915255",Alexandria,Sydney,Sydney - City and Inner South,New South Wales,Australia
3175BR,Branch,3175BR,"151,241675","-33,823665",Mosman,Mosman,Sydney - North Sydney and Hornsby,New South Wales,Australia
3176BR,Branch,3172BR,"151,193182","-33,919638",Alexandria,Sydney,Sydney - City and Inner South,New South Wales,Australia
3177BR,Branch,3177BR,"150,87551","-33,788026",Arndell Park,Blacktown,Sydney - Blacktown,New South Wales,Australia
3178BR,Branch,3016BR,"151,191257","-33,815317",Artarmon,Willoughby,Sydney - North Sydney and Hornsby,New South Wales,Australia
3179BR,Branch,3179BR,"149,541528","-33,41353",Bathurst,Bathurst,Central West,New South Wales,Australia
3180BR,Branch,3180BR,"150,974536","-33,73107",Castle Hill,The Hills,Sydney - Baulkham Hills and Hawkesbury,New South Wales,Australia
3181BR,Branch,3181BR,"148,6137734","-32,2427919",Dubbo,Dubbo,Far West and Orana,New South Wales,Australia
3182BR,Branch,3182BR,"151,327827","-33,415724",Gosford,Gosford,Central Coast,New South Wales,Australia
3183BR,Branch,3183BR,"150,878868","-33,931498",Prestons,Liverpool,Sydney - South West,New South Wales,Australia
3184BR,Branch,3184BR,"151,731154","-32,918459",Broadmeadow,Newcastle,Newcastle and Lake Macquarie,New South Wales,Australia
3185BR,Branch,3185BR,"150,682614","-33,769436",Jamisontown,Penrith,Sydney - Outer West and Blue Mountains,New South Wales,Australia
3186BR,Branch,3186BR,"152,882415","-31,454932",Port Macquarie,Port Macquarie-Hastings,Mid North Coast,New South Wales,Australia
3187BR,Branch,3187BR,"151,027895","-33,936037",Padstow,Bankstown,Sydney - Inner South West,New South Wales,Australia
3188BR,Branch,3188BR,"151,052079","-33,833909",Silverwater,Auburn,Sydney - Parramatta,New South Wales,Australia
3189BR,Branch,3189BR,"151,141793","-32,547343",Singleton,Singleton,Hunter Valley exc Newcastle,New South Wales,Australia
3190BR,Branch,3152BR,"151,122608","-34,021103",Taren Point,Sutherland,Sydney - Sutherland,New South Wales,Australia
3191BR,Branch,3003BR,"147,343011","-35,122016",Wagga Wagga,Wagga Wagga,Riverina,New South Wales,Australia
3192BR,Branch,3192BR,"150,88933","-34,438",Wollongong,Wollongong,Illawarra,New South Wales,Australia
3193BR,Branch,3193BR,"149,171058","-35,323441",Fyshwick,Unincorporated Australian Capital Territory,Australian Capital Territory,Australian Capital Territory,Australia
3194BR,Branch,3194BR,"151,167587","-33,908678",Marrickville,Marrickville,Sydney - City and Inner South,New South Wales,Australia
3195BR,Branch,3195BR,"149,175673","-35,333317",Fyshwick,Unincorporated Australian Capital Territory,Australian Capital Territory,Australian Capital Territory,Australia
3196BR,Branch,3003BR,"147,342961","-35,121452",Wagga Wagga,Wagga Wagga,Riverina,New South Wales,Australia
3197BR,Branch,3197BR,"150,848266","-33,761958",Rooty Hill,Blacktown,Sydney - Blacktown,New South Wales,Australia
3198BR,Branch,3198BR,"150,981239","-33,732995",Castle Hill,The Hills,Sydney - Baulkham Hills and Hawkesbury,New South Wales,Australia
3199BR,Branch,3199BR,"149,851901","-29,482705",Moree,Moree Plains,New England and North West,New South Wales,Australia
3200BR,Branch,3201BR,"153,087756","-30,312997",North Boambee Valley,Coffs Harbour,Coffs Harbour - Grafton,New South Wales,Australia
3201BR,Branch,3201BR,"153,087756","-30,312997",North Boambee Valley,Coffs Harbour,Coffs Harbour - Grafton,New South Wales,Australia
3203BR,Branch,3203BR,"150,911862","-31,086996",Taminda,Tamworth Regional,New England and North West,New South Wales,Australia
3204BR,Branch,3043BR,"150,763693","-34,025752",Gregory Hills,Camden,Sydney - South West,New South Wales,Australia
3205BR,Branch,3205BR,"150,959828","-33,851799",Guildford,Holroyd,Sydney - Parramatta,New South Wales,Australia
3206BR,Branch,3206BR,"150,915538","-33,826564",Pemulwuy,Holroyd,Sydney - Parramatta,New South Wales,Australia
3207BR,Branch,3206BR,"150,915538","-33,826564",Pemulwuy,Holroyd,Sydney - Parramatta,New South Wales,Australia
3209BR,Branch,3194BR,"151,167587","-33,908678",Marrickville,Marrickville,Sydney - City and Inner South,New South Wales,Australia
3211BR,Branch,3211BR,"150,905207","-33,841053",Wetherill Park,Fairfield,Sydney - South West,New South Wales,Australia
3213BR,Branch,3016BR,"151,191342","-33,816991",St Leonards,Willoughby,Sydney - North Sydney and Hornsby,New South Wales,Australia
3214BR,Branch,3713BR,"150,815099","-34,058457",Campbelltown,Campbelltown,Sydney - Outer South West,New South Wales,Australia
3217BR,Branch,3217BR,"151,008858","-33,77568",North Rocks,The Hills,Sydney - Parramatta,New South Wales,Australia
3220BR,Branch,3220BR,"150,7531884","-34,0412623",1-11 Smeaton Grange Road,Camden,Sydney - Outer South West,New South Wales,Australia
3223BR,Branch,3223BR,"151,1877293","-33,81489507",Artarmon,Willoughby,Sydney - North Sydney and Hornsby,New South Wales,Australia
3226BR,Branch,3201BR,"153,0880808","-30,31357199",North Boambee Valley,Coffs Harbour,Coffs Harbour - Grafton,New South Wales,Australia
3227BR,Branch,3138BR,"150,6936021","-33,76886103",South Penrith,Penrith,Sydney - Outer West and Blue Mountains,New South Wales,Australia
3228BR,Branch,3138BR,"150,6936021","-33,76886103",South Penrith,Penrith,Sydney - Outer West and Blue Mountains,New South Wales,Australia
3713BR,Branch,3713BR,"150,815195","-34,058457",Campbelltown,Campbelltown,Sydney - Outer South West,New South Wales,Australia
4001BR,Branch,4001BR,"145,0244257","-37,88721417",Caulfield,Glen Eira,Melbourne - Inner South,Victoria,Australia
4002BR,Branch,4055BR,"145,1414","-37,9231",Clayton,Monash,Melbourne - South East,Victoria,Australia
4003BR,Branch,4003BR,"145,1353166","-37,81946946",Box Hill,Whitehorse,Melbourne - Inner East,Victoria,Australia
4004BR,Branch,4004BR,"145,2854122","-37,79548015",Croydon,Maroondah,Melbourne - Outer East,Victoria,Australia
4005BR,Branch,4005BR,"145,2158831","-37,8295045",Ringwood,Maroondah,Melbourne - Outer East,Victoria,Australia
4006BR,Branch,4006BR,"145,1415008","-38,11319832",Seaford,Frankston,Mornington Peninsula,Victoria,Australia
4007BR,Branch,4007BR,"145,039538","-37,694301",Thomastown,Whittlesea,Melbourne - North East,Victoria,Australia
4008BR,Branch,4008BR,"145,0570411","-37,75146154",Heidelberg West,Banyule,Melbourne - North East,Victoria,Australia
4009BR,Branch,4009BR,"145,1204126","-37,71540486",Montmorency,Banyule,Melbourne - North East,Victoria,Australia
4010BR,Branch,4010BR,"144,8657393","-37,84063787",Newport,Hobsons Bay,Melbourne - West,Victoria,Australia
4011BR,Branch,4011BR,"145,00468","-37,8191486",Richmond,Yarra,Melbourne - Inner,Victoria,Australia
4012BR,Branch,4012BR,"144,860853","-37,812546",West Footscray,Maribyrnong,Melbourne - West,Victoria,Australia
4013BR,Branch,4138BR,"145,234618","-37,99893",Doveton,Casey,Melbourne - South East,Victoria,Australia
4014BR,Branch,4014BR,"145,0659391","-37,97583132",Mentone,Kingston,Melbourne - Inner South,Victoria,Australia
4015BR,Branch,4131BR,"145,2790597","-37,8829931",Ferntree Gully,Knox,Melbourne - Outer East,Victoria,Australia
4016BR,Branch,4016BR,"144,9708","-37,7743",Brunswick,Moreland,Melbourne - Inner,Victoria,Australia
4017BR,Branch,4017BR,"144,7200875","-37,58637712",Sunbury,Hume,Melbourne - North West,Victoria,Australia
4018BR,Branch,4018BR,"145,0584762","-38,23667212",Mornington,Mornington Peninsula,Mornington Peninsula,Victoria,Australia
4019BR,Branch,4019BR,"144,9263511","-37,77123154",Moonee Ponds,Moonee Valley,Melbourne - Inner,Victoria,Australia
4020BR,Branch,4709BR,"146,924368","-36,07808",Albury,Albury,Murray,New South Wales,Australia
4021BR,Branch,4721BR,"146,2571341","-38,17475095",Moe,Latrobe,Latrobe - Gippsland,Victoria,Australia
4022BR,Branch,4022BR,"144,35138","-38,16133",Geelong,Greater Geelong,Geelong,Victoria,Australia
4023BR,Branch,4023BR,"144,9560949","-37,82934561",South Melbourne,Port Phillip,Melbourne - Inner,Victoria,Australia
4024BR,Branch,4024BR,"144,8908988","-37,72477737",Airport West,Moonee Valley,Melbourne - North West,Victoria,Australia
4025BR,Branch,4025BR,"142,029113","-37,742979",Hamilton,Southern Grampians,Warrnambool and South West,Victoria,Australia
4026BR,Branch,4026BR,"142,1693306","-34,18769632",Mildura,Mildura,North West,Victoria,Australia
4027BR,Branch,4027BR,"145,4043632","-36,38185151",Shepparton,Greater Shepparton,Shepparton,Victoria,Australia
4028BR,Branch,4028BR,"144,9893289","-38,33371112",Dromana,Mornington Peninsula,Mornington Peninsula,Victoria,Australia
4029BR,Branch,4029BR,"144,5945","-37,68383",Melton,Melton,Melbourne - West,Victoria,Australia
4030BR,Branch,4030BR,"147,5975264","-37,83751143",Bairnsdale,East Gippsland,Latrobe - Gippsland,Victoria,Australia
4031BR,Branch,4031BR,"144,2720725","-36,76199482",Bendigo,Greater Bendigo,Bendigo,Victoria,Australia
4032BR,Branch,4032BR,"145,1018","-37,85105",Burwood,Whitehorse,Melbourne - Inner East,Victoria,Australia
4033BR,Branch,4033BR,"145,345599","-37,75653361",Lilydale,Yarra Ranges,Melbourne - Outer East,Victoria,Australia
4034BR,Branch,4034BR,"145,5168462","-37,65406038",Healesville,Yarra Ranges,Melbourne - Outer East,Victoria,Australia
4035BR,Branch,4035BR,"145,0762491","-37,8336322",Camberwell,Boroondara,Melbourne - Inner East,Victoria,Australia
4036BR,Branch,4036BR,"143,86468","-37,560753",Ballarat,Ballarat,Ballarat,Victoria,Australia
4037BR,Branch,4037BR,"147,0676912","-38,10033814",Sale,Wellington,Latrobe - Gippsland,Victoria,Australia
4038BR,Branch,4038BR,"144,8299","-37,7722",Sunshine North,Brimbank,Melbourne - West,Victoria,Australia
4039BR,Branch,4039BR,"144,85663","-38,3693",Tootgarook,Mornington Peninsula,Mornington Peninsula,Victoria,Australia
4040BR,Branch,4040BR,"145,1989186","-37,99092037",Dandenong,Greater Dandenong,Melbourne - South East,Victoria,Australia
4042BR,Branch,4042BR,"144,702","-37,88085",Hoppers Crossing,Wyndham,Melbourne - West,Victoria,Australia
4043BR,Branch,4043BR,"145,282571","-38,10200838",Cranbourne,Casey,Melbourne - South East,Victoria,Australia
